Comment,Source Spreadsheet URL,Source Worksheet ID,Destination Spreadsheet URL,Destination Worksheet ID
СП Диагностика Заявки (Паша),https://docs.google.com/spreadsheets/d/1r6dnc3x1RNPKSsUmIE9DuZD1yuNCSV7gdM0RLSOgF_E/edit#gid=2032092882,2032092882,https://docs.google.com/spreadsheets/d/14dbo9tuiVjt9R4LpRjvaSCDRaTb1fCe21ne0rI_VOKg/edit#gid=722402361,722402361
АНКЕТА И ЗАЯВКИ 2,https://docs.google.com/spreadsheets/d/166izgLyZ2IJDFpS6iNhkmjOCFyE6sVhQod_5JjOJi5s/edit#gid=53724863,53724863,https://docs.google.com/spreadsheets/d/14dbo9tuiVjt9R4LpRjvaSCDRaTb1fCe21ne0rI_VOKg/edit#gid=2040881791,2040881791
Заявки на обучение СК,https://docs.google.com/spreadsheets/d/1rpcAgH4Z2QYTD9JLL-JJy2HuJXXlqN_pVx1OW0muWpo/edit?resourcekey#gid=1825993260,1825993260,https://docs.google.com/spreadsheets/d/14dbo9tuiVjt9R4LpRjvaSCDRaTb1fCe21ne0rI_VOKg/edit#gid=1574351044,1574351044
Эфир 15.09,https://docs.google.com/spreadsheets/d/1KG16oJC0_-7nYJ4aFX2qDN4HYp7cg5SqYqSoYnqGsjw/edit?resourcekey#gid=486375918,486375918,https://docs.google.com/spreadsheets/d/14dbo9tuiVjt9R4LpRjvaSCDRaTb1fCe21ne0rI_VOKg/edit#gid=110259534,110259534
